省份,品种名称,亲本来源,类型,原产地,审定编号
江西,湘晚籼11号,E179-F3-2-2-1-2,籼型常规稻,湖南省水稻研究所,赣审稻2002014
江西,珍乡A,泰丰A×珍乡B,籼型不育系,江西先农种业有限公司,赣审稻20210088
江　苏,扬稻5号,鉴42×鄂荆糯6号,籼型常规稻,江苏里下河地区农业科学研究所,苏种审字第208号
江西,C两优260,C815S×R260,籼型两系杂交稻,江西先农种业有限公司等,赣审稻2015005
浙江,嘉禾香1号,嘉禾218/嘉粳3694×嘉粳3684,粳型常规稻,嘉兴市农业科学研究院等,浙审稻2020009
江　苏,镇粳608,镇631/宁5059×镇413,粳型常规稻,江苏家和种业科技有限公司,苏审稻20220035
安徽,金山两优粤丰丝苗,金山31S×粤丰丝苗,籼型两系杂交稻,合肥国丰农业科技有限公司,皖审稻2024L009
江　苏,常优粳1818,常5-55A×CR-999,粳型三系杂交稻,连云港市农业科学院等,苏审稻20220065
江西,菲优98,菲改A×R9833,籼型三系杂交稻,德农正成种业有限公司江西分公司,赣审稻2006065
安徽,捷两优美新占,华捷221S×美香新占,籼型两系杂交稻,湖南隆平高科种业科学院有限公司等,皖审稻2023T013
江西,江早518,中早39×中嘉早17,籼型常规稻,江西科源种业有限公司,赣审稻20200004
江西,K优877,K18A×明恢77,籼型三系杂交稻,四川省农业科学院水稻高粱研究所,赣审稻2008032
江西,中9优974,中9A×To974,籼型三系杂交稻,中国水稻研究所,赣审稻2001005
江　苏,连粳6188,11ZJ42×辽粳326/N41,粳型常规稻,连云港市农业科学院,苏审稻20220034
江西,华粳籼74,CPSLO17/毫格劳×新秀299,籼型常规稻,华南农业大学农学系,赣审稻2002013
江　苏,扬粳103,津稻1007×扬粳4227,粳型常规稻,江苏金土地种业有限公司等,苏审稻20170013
江　苏,淮稻32,扬辐粳4901/连粳7号×淮稻5号/扬粳3012,粳型常规稻,江苏天丰种业有限公司等,苏审稻20210034
江　苏,软玉7276,武运粳24号/武运粳27号×农13/武运粳19号,粳型常规稻,江苏越千凡农业科技发展有限公司等,苏审稻20220064
