省份,品种名称,亲本来源,类型,原产地,审定编号,审定方,审定序号,母本,审定公司
广西,湘优8817,湘菲A×湘恢8817,籼型三系杂交稻,湖南科裕隆种业有限公司,桂审稻2010002号,桂审稻,2010002,湘菲A,湖南科裕隆种业有限公司
广西,H两优7201,HD9802S×R7201,籼型两系杂交稻,武汉武大天源生物科技股份有限公司,桂审稻2012004号,桂审稻,2012004,HD9802S,武汉武大天源生物科技股份有限公司
广西,湘优1126,湘菲A×湘恢1126,籼型三系杂交稻,湖南科裕隆种业有限公司,桂审稻2015009号,桂审稻,2015009,湘菲A,湖南科裕隆种业有限公司
广西,兰优2093,兰A×R2093,籼型三系杂交稻,南宁市沃德农作物研究所,桂审稻2013016号,桂审稻,2013016,兰A,南宁市沃德农作物研究所
广西,汕优207,珍汕97A×先恢207,籼型三系杂交稻,湖南杂交水稻研究中心,桂审稻2001101号,桂审稻,2001101,珍汕97A,湖南杂交水稻研究中心
广西,兆优5455,兆A×R5455,籼型三系杂交稻,深圳市兆农农业科技有限公司,桂审稻2019197号,桂审稻,2019197,兆A,深圳市兆农农业科技有限公司
广西,更香优糖丝,更香A×R糖丝,籼型三系杂交稻,广西绿海种业有限公司,桂审稻2020105号,桂审稻,2020105,更香A,广西绿海种业有限公司
广西,天丰优6418,天丰A×R6418,籼型三系杂交稻,江西天涯种业有限公司等,桂审稻2013015号,桂审稻,2013015,天丰A,江西天涯种业有限公司
广西,中智香优8号,中智A×R161,籼型三系杂交稻,广西金卡农业科技有限公司,桂审稻2020057号,桂审稻,2020057,中智A,广西金卡农业科技有限公司
广西,荆楚优866,荆楚814A×R866,籼型三系杂交稻,湖北荆楚种业股份有限公司等,桂审稻2012003号,桂审稻,2012003,荆楚814A,湖北荆楚种业股份有限公司
广西,美优138,美A×测13-8,籼型三系杂交稻,广西农业科学院水稻研究所,桂审稻2001040号,桂审稻,2001040,美A,广西农业科学院水稻研究所
海南,中泰A,天丰A×中泰B,籼型不育系,广东现代种业发展有限公司,琼审稻2021011,琼审稻,2021011,天丰A,广东现代种业发展有限公司
广西,珍两优3号,珍96S×化感稻3号,籼型两系杂交稻,华南农业大学,桂审稻2020126号,桂审稻,2020126,珍96S,华南农业大学
广西,冈优22,冈46A×CDR22,籼型三系杂交稻,四川省农业科学院作物所等,桂审稻200056号,桂审稻,200056,冈46A,四川省农业科学院作物所
广西,优Ⅰ647,优ⅠA×R647,籼型三系杂交稻,广西桂林地区种子公司,桂审稻2001100号,桂审稻,2001100,优ⅠA,广西桂林地区种子公司
广西,泸优2155,泸香618A×明恢2155,籼型三系杂交稻,福建六三种业有限公司等,桂审稻2014009号,桂审稻,2014009,泸香618A,福建六三种业有限公司
广西,孟两优838,孟S×辐恢838,籼型两系杂交稻,广西绿田种业有限公司,桂审稻2010001号,桂审稻,2010001,孟S,广西绿田种业有限公司
广西,深两优0858,深08S×泰恢5845,籼型两系杂交稻,四川泰隆农业科技有限公司,桂审稻2015008号,桂审稻,2015008,深08S,四川泰隆农业科技有限公司
广西,深两优8386,深08S×R1386,籼型两系杂交稻,广西兆和种业有限公司,桂审稻2015007号,桂审稻,2015007,深08S,广西兆和种业有限公司
广西,郴香优1号,郴A×郴R1号,籼型三系杂交稻,湖南省郴州市农业科学研究所等,桂审稻2012002号,桂审稻,2012002,郴A,湖南省郴州市农业科学研究所
广西,桂茉香1号,茉莉占×早桂1号,籼型常规稻,玉林市农业科学研究所,桂审稻2008023号,桂审稻,2008023,茉莉占,玉林市农业科学研究所
广西,六两优628,6105S×R628,籼型两系杂交稻,安徽绿亿种业有限公司,桂审稻2013014号,桂审稻,2013014,6105S,安徽绿亿种业有限公司
广西,良相优品来,良相A×品来,籼型三系杂交稻,广西万川种业有限公司等,桂审稻2020056号,桂审稻,2020056,良相A,广西万川种业有限公司
广西,博优768,博A×R768,籼型三系杂交稻,广西南繁种业有限公司,桂审稻2007030号,桂审稻,2007030,博A,广西南繁种业有限公司
广西,竹桂371,桂朝2号×竹选72-4,籼型常规稻,广西钦州地区农科所,桂审证字第057号,桂审稻,057,桂朝2号,广西钦州地区农科所
广西,金优6601,金23A×R6601,籼型三系杂交稻,广西桂穗种业有限公司,桂审稻2005007号,桂审稻,2005007,金23A,广西桂穗种业有限公司
广西,恒丰优779,恒丰A×R779,籼型三系杂交稻,广西兆和种业有限公司,桂审稻2018082号,桂审稻,2018082,恒丰A,广西兆和种业有限公司
广西,聚两优751,GD-7S×V5128,籼型两系杂交稻,广东省农业科学院水稻研究所,桂审稻2019196号,桂审稻,2019196,GD-7S,广东省农业科学院水稻研究所
广西,金谷202,金谷A×蜀恢202,籼型三系杂交稻,四川农业大学水稻研究所等,桂审稻2006031号,桂审稻,2006031,金谷A,四川农业大学水稻研究所
广西,甬优1540,甬粳15A×F7540,籼粳交三系杂交稻,宁波种业股份有限公司,桂审稻2015006号,桂审稻,2015006,甬粳15A,宁波种业股份有限公司
广西,广和优618,广和A×R618,籼型三系杂交稻,广西兆和种业有限公司等,桂审稻2018081号,桂审稻,2018081,广和A,广西兆和种业有限公司
广西,芳A,SP134×芳B,籼型不育系,广西壮族自治区种子公司,桂审稻2009031号,桂审稻,2009031,SP134,广西壮族自治区种子公司
广西,昌盛优玉兔占,昌盛843A×玉兔占,籼型三系杂交稻,江西天涯种业有限公司,桂审稻2020104号,桂审稻,2020104,昌盛843A,江西天涯种业有限公司
广西,惠两优901,惠34S×丰恢901,籼型两系杂交稻,武汉惠华三农种业有限公司,桂审稻2013013号,桂审稻,2013013,惠34S,武汉惠华三农种业有限公司
广西,Ⅱ优3550,Ⅱ-32A×广恢3550,籼型三系杂交稻,广东省农业科学院水稻研究所等,桂审稻200055号,桂审稻,200055,Ⅱ-32A,广东省农业科学院水稻研究所
